Identification number,Section,Subsection,Head office country,Head office city,Level of interest,Fields of interest,Estimate of costs (absolute amount),Estimate of costs (as a range)
53319341832-26,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Romania,Iasi,national,"Agriculture and Rural Development		Environment		Internal Market		Fisheries and Aquaculture		Food Safety",,0-9999
316913017974-56,II - In-house lobbyists and trade/business/professional associations,Other organisations,Spain,Madrid,national,"Audiovisual and Media		Trade		Competition		Consumer Affairs		Culture		Education		External Relations		Information Society",44000,
9016880835-58,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.",Regional structures,Finland,Helsinki,regional/local,"Culture		Education		Energy		Environment		Youth		Regional Policy		External Relations		Trans-European Networks		Transport		Climate Action",,0-9999
4760969620-65,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"General and Institutional Affairs		Economic and Financial Affairs		Humanitarian Aid		Audiovisual and Media		Trade		Competition		Consumer Affairs		Education		Enlargement		Employment and Social Affairs		Enterprise		Taxation		Justice and Fundamental Rights		Internal Market		Research and Technology		External Relations		Trans-European Networks		Information Society		Home Affairs",,200000-299999
25955391451-88,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United States,California,global,"Economic and Financial Affairs		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Customs		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Youth		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Information Society		Climate Action		Home Affairs",,800000-899999
1815241602-21,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Bruxelles,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Humanitarian Aid		Consumer Affairs		Culture		Development		Education		Enlargement		Employment and Social Affairs		Enterprise		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Regional Policy		Public Health		Information Society		Home Affairs",,0-9999
54018122087-60,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Bruxelles,European,"General and Institutional Affairs		Economic and Financial Affairs		Trade		Competition		Consumer Affairs		Customs		Enlargement		Energy		Enterprise		Environment		Internal Market		Research and Technology		Public Health		Climate Action",,0-9999
680569217150-15,"IV - Think tanks		research and academic institutions",Academic institutions,South Africa,Pretoria,national,"Economic and Financial Affairs		Agriculture and Rural Development		Trade		Consumer Affairs		Culture		Development		Education		Energy		Environment		Taxation		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Research and Technology		External Relations		Public Health		Food Safety		Sport		Transport		Climate Action",352,
3562594969-02,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,"European		global","Economic and Financial Affairs		Audiovisual and Media		Trade		Development		Education		Energy		Enterprise		Environment		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		External Relations		Information Society		Transport		Home Affairs		Communication		Financial Stability		Financial Services and Capital Markets Union",,200000-299999
663223020624-44,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Portugal,Lisboa,national,Energy,,0-9999
29897598486-41,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.",Other sub-national public authorities,United Kingdom,Peteborough,national,"General and Institutional Affairs		Agriculture and Rural Development		Budget		Energy		Environment		Fisheries and Aquaculture		Research and Technology		Trans-European Networks		Climate Action",,10000-24999
65641341034-11,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Netherlands,DEN HAAG,"European		national","Enterprise		Internal Market",3000,
04627551301-91,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,United Kingdom,Kenninghall,"European		global		national","Trade		Consumer Affairs		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Justice and Fundamental Rights		Internal Market		Research and Technology		Public Health		Food Safety		Information Society		Climate Action",,10000-24999
09586631237-74,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Bruxelles,European,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Internal Market		Fisheries and Aquaculture		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Transport		Climate Action		Communication",,1000000-1249999
827688315793-86,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Netherlands,Amsterdam,"European		global		national","Agriculture and Rural Development		Audiovisual and Media		Trade		Competition		Consumer Affairs		Customs		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Internal Market		Public Health		Climate Action",,700000-799999
53472261059-57,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Canada,"Valcourt		Québec","European		global		national","Trade		Consumer Affairs		Customs		Energy		Enterprise		Environment		Taxation		Internal Market		Fisheries and Aquaculture		Research and Technology		Sport		Transport",,50000-99999
36063991244-88,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication",,200000-299999
267712317072-06,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,France,Toulouse,global,"Agriculture and Rural Development		Consumer Affairs		Environment		Food Safety		Climate Action",,0-9999
41712511261-57,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Netherlands,Zoetermeer,"European		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Trade		Competition		Customs		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		Trans-European Networks		Information Society		Transport		Climate Action		Home Affairs",,10000-24999
19090871381-11,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,France,PARIS,"European		national","Economic and Financial Affairs		Agriculture and Rural Development		Audiovisual and Media		Trade		Competition		Consumer Affairs		Customs		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Research and Technology		Information Society		Transport		Home Affairs		Communication",,25000-49999
47676761061-93,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,BRUSSEL / BRUXELLES,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Budget		Trade		Competition		Consumer Affairs		Development		Customs		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Transport		Climate Action		Home Affairs",,400000-499999
59513031434-92,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"General and Institutional Affairs		Economic and Financial Affairs		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Information Society		Transport		Climate Action		Home Affairs		Communication",135000,
48071001253-27,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,"European		global		national		regional/local","Budget		Trade		Development		Education		Energy		Enterprise		Environment		Taxation		Internal Market		Regional Policy		Research and Technology		Trans-European Networks		Transport		Climate Action",,0-9999
56047551356-84,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"Energy		Environment		Research and Technology		Climate Action",,100000-199999
06798511314-27,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,BRUSSELS,"European		global		national		regional/local","General and Institutional Affairs		Agriculture and Rural Development		Enlargement		Energy		Environment		Taxation		Fisheries and Aquaculture		Research and Technology		Transport		Climate Action",,3250000-3499999
17144181426-26,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Berlin,"European		national","Economic and Financial Affairs		Agriculture and Rural Development		Budget		Trade		Competition		Energy		Environment		Taxation		Internal Market		Research and Technology		Food Safety",105000,
14190001484-01,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"Agriculture and Rural Development		Trade		Consumer Affairs		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Internal Market		Research and Technology		Public Health		Food Safety		Climate Action",,50000-99999
707568010386-43,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Belgium,Brussels,European,"Trade		Foreign and Security Policy and Defence		External Relations",,0-9999
981119221130-18,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Germany,BERLIN,European,Justice and Fundamental Rights,,0-9999
394911310390-17,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Germany,Bonn,global,"Humanitarian Aid		Development		External Relations		Climate Action",,0-9999
99071781194-54,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.",Regional structures,Norway,OSLO,"European		national		regional/local","Economic and Financial Affairs		Culture		Education		Employment and Social Affairs		Energy		Environment		Youth		Regional Policy		Research and Technology		Trans-European Networks		Public Health		Information Society		Transport		Climate Action",,25000-49999
17757491196-49,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,Belgium,Leuven,"European		global","General and Institutional Affairs		Consumer Affairs		Energy		Enterprise		Environment		Internal Market		Research and Technology		Public Health		Information Society		Transport		Climate Action",,25000-49999
60762921532-05,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Berlin,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Competition		Consumer Affairs		Justice and Fundamental Rights		Internal Market		Home Affairs",,500000-599999
08746491502-16,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United Kingdom,London,European,"General and Institutional Affairs		Economic and Financial Affairs		Trade		Competition		Development		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Internal Market		Research and Technology		External Relations		Trans-European Networks		Transport		Climate Action",,300000-399999
85252491441-36,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Berlin,"European		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Budget		Trade		Competition		Enterprise		Internal Market		Regional Policy		Research and Technology",,25000-49999
00997933217-68,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Spain,Madrid,"European		global		national","Trade		Competition		Consumer Affairs		Employment and Social Affairs		Enterprise		Environment		Internal Market		Research and Technology		Information Society		Transport",,0-9999
96033691392-71,II - In-house lobbyists and trade/business/professional associations,Other organisations,Germany,Berlin,national,"Economic and Financial Affairs		Competition		Development		Enterprise		Regional Policy		Research and Technology",,0-9999
75395701551-94,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.",Transnational associations and networks of public regional or other sub-national authorities,Belgium,Bruxelles,European,"Competition		Energy		Enterprise		Environment		Internal Market		Research and Technology		Public Health		Climate Action",,100000-199999
48067211204-09,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Bruxelles,"European		national","Economic and Financial Affairs		Consumer Affairs		Customs		Energy		Environment		Taxation		Transport		Climate Action",,0-9999
97914681026-14,II - In-house lobbyists and trade/business/professional associations,Companies & groups,France,La Plaine Saint Denis,global,"General and Institutional Affairs		Economic and Financial Affairs		Budget		Competition		Consumer Affairs		Customs		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Internal Market		Regional Policy		Research and Technology		Trans-European Networks		Information Society		Transport		Climate Action",,500000-599999
54735291072-89,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"Humanitarian Aid		Competition		Culture		Development		Employment and Social Affairs		Environment		Youth		Internal Market		Public Health		Sport",,0-9999
55888811123-49,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Bruxelles,"European		global","Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Budget		Trade		Development		Enlargement		Energy		Environment		Taxation		Regional Policy		External Relations		Trans-European Networks		Transport		Climate Action",,800000-899999
94320401142-27,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Portugal,Vila Nova de Gaia,national,"Agriculture and Rural Development		Trade		Competition		Consumer Affairs		Customs		Enterprise		Environment		Taxation		Internal Market		Research and Technology		Public Health		Food Safety",,0-9999
09245221105-30,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,France,Paris,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Trade		Competition		Consumer Affairs		Employment and Social Affairs		Enterprise		Taxation		Justice and Fundamental Rights		Internal Market		Home Affairs",,900000-999999
024303615775-21,II - In-house lobbyists and trade/business/professional associations,Other organisations,Portugal,LISBOA,global,"Energy		Research and Technology",,0-9999
92545571128-74,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Belgium,Bruxelles,European,"Education		Enlargement		Employment and Social Affairs		Energy		Environment		Youth		Fisheries and Aquaculture		Trans-European Networks		Transport		Climate Action",,400000-499999
52633701250-41,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,United Kingdom,London,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication",,200000-299999
04878831234-67,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,France,LYON,European,"Economic and Financial Affairs		Trade		Competition		Customs		Enlargement		Energy		Enterprise		Environment		Internal Market		Regional Policy		Research and Technology		External Relations",,25000-49999
77510791109-40,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,United Kingdom,London,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Humanitarian Aid		Budget		Trade		Competition		Development		Enlargement		Employment and Social Affairs		Enterprise		Taxation		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		External Relations		Public Health		Home Affairs",,0-9999
89854211497-57,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,United States,"Charlottesville		VA","European		global		national","Economic and Financial Affairs		Taxation		Internal Market",,0-9999
36546161539-21,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,United Kingdom,London,European,"Agriculture and Rural Development		Trade		Environment		Food Safety",,10000-24999
76399831150-89,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Berlin,"European		national		regional/local","Economic and Financial Affairs		Trade		Competition		Consumer Affairs		Enterprise		Taxation		Internal Market		Research and Technology		Public Health		Food Safety",,100000-199999
52978731506-62,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"General and Institutional Affairs		Economic and Financial Affairs		Trade		Competition		Consumer Affairs		Development		Customs		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Information Society		Transport		Climate Action		Communication",,0-9999
73491621553-11,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,United Kingdom,Lightwater,European,"Competition		Consumer Affairs		Customs		Enlargement		Employment and Social Affairs		Enterprise		Environment		Justice and Fundamental Rights		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Transport		Home Affairs",,0-9999
78982871558-95,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Berlin,"European		national","General and Institutional Affairs		Agriculture and Rural Development		Trade		Consumer Affairs		Customs		Employment and Social Affairs		Enterprise		Internal Market		Public Health",,50000-99999
81995781088-41,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,United States,"Washington		DC","European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Home Affairs",,2500000-2749000
48720121070-58,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Italy,Roma,global,"Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Culture		Development		Education		Enlargement		Employment and Social Affairs		Environment		Youth		Justice and Fundamental Rights		Foreign and Security Policy and Defence		Public Health		Food Safety		Information Society		Communication",,0-9999
56047191389-84,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Belgium,Brussels,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Audiovisual and Media		Trade		Competition		Consumer Affairs		Customs		Education		Enlargement		Energy		Enterprise		Environment		Taxation		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Transport		Climate Action		Communication",,6250000-6499999
17096585236-22,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Italy,Milano,"European		global		national","Environment		Fisheries and Aquaculture		Research and Technology",,0-9999
87688971079-66,II - In-house lobbyists and trade/business/professional associations,Companies & groups,France,Le Plessis-Robinson,"European		global		national","General and Institutional Affairs		Budget		Trade		Competition		Development		Enterprise		Environment		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Information Society		Transport		Home Affairs",,50000-99999
71253121277-71,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Bonn,"European		global		national		regional/local","Economic and Financial Affairs		Agriculture and Rural Development		Trade		Competition		Consumer Affairs		Customs		Enterprise		Environment		Taxation		Internal Market		Public Health		Food Safety",32000,
04903991238-83,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Germany,Freiburg,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Humanitarian Aid		Budget		Competition		Consumer Affairs		Development		Education		Employment and Social Affairs		Enterprise		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Regional Policy		Public Health		Home Affairs",,300000-399999
55820581197-35,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Transport		Climate Action		Home Affairs		Financial Stability		Financial Services and Capital Markets Union",1608856,
88072891086-36,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"General and Institutional Affairs		Economic and Financial Affairs		Competition		Consumer Affairs		Enlargement		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Public Health		Food Safety		Information Society		Transport		Home Affairs",400000,
85420851545-81,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,United Kingdom,Whitley Bay,regional/local,"General and Institutional Affairs		Humanitarian Aid		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Enlargement		Employment and Social Affairs		Energy		Enterprise		Youth		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Transport		Home Affairs",,0-9999
35455841111-88,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,Belgium,Brussels,global,"Economic and Financial Affairs		Trade		Competition		Consumer Affairs		Environment		Internal Market		Information Society		Climate Action",,0-9999
79597191293-75,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,United Kingdom,"Sawbridgeworth		Hertfordshire","European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Audiovisual and Media		Trade		Competition		Consumer Affairs		Culture		Education		Employment and Social Affairs		Energy		Enterprise		Youth		Justice and Fundamental Rights		Internal Market		Research and Technology		Public Health		Information Society		Sport		Home Affairs",,200000-299999
5546423688-07,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",France,Rennes,regional/local,"Economic and Financial Affairs		Agriculture and Rural Development		Budget		Competition		Development		Enlargement		Employment and Social Affairs		Energy		Environment		Fisheries and Aquaculture		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Transport		Climate Action",,2750000-2999999
50751211239-57,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Spain,Almería,European,"Economic and Financial Affairs		Agriculture and Rural Development		Competition		Consumer Affairs		Culture		Development		Education		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Regional Policy		Research and Technology		Trans-European Networks		Food Safety		Information Society		Transport		Home Affairs",,25000-49999
29310761114-43,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Bruxelles,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Humanitarian Aid		Competition		Consumer Affairs		Education		Employment and Social Affairs		Enterprise		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Research and Technology		External Relations		Information Society		Climate Action		Home Affairs		Communication",,0-9999
15914681331-83,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels (Ixelles),European,"Trade		Competition		Culture		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Internal Market		Regional Policy		Research and Technology		Climate Action",,100000-199999
48872621093-60,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Trade		Consumer Affairs		Development		Employment and Social Affairs		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		External Relations",74254,
35147251117-11,II - In-house lobbyists and trade/business/professional associations,Companies & groups,France,Paris,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Competition		Consumer Affairs		Education		Employment and Social Affairs		Enterprise		Environment		Taxation		Internal Market",,200000-299999
69766701400-79,II - In-house lobbyists and trade/business/professional associations,Companies & groups,United Kingdom,london,global,"General and Institutional Affairs		Economic and Financial Affairs		Internal Market",,100000-199999
30262111118-43,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Berlin,"European		national		regional/local","General and Institutional Affairs		Humanitarian Aid		Competition		Consumer Affairs		Employment and Social Affairs		Regional Policy		Public Health",,0-9999
925657320626-38,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.",Other sub-national public authorities,Hungary,Debrecen,regional/local,"Competition		Consumer Affairs		Justice and Fundamental Rights		Internal Market",40061,
11503381325-76,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Denmark,Copenhagen V,"European		national","Economic and Financial Affairs		Education		Employment and Social Affairs		Youth		Justice and Fundamental Rights		Home Affairs",,400000-499999
51773601133-57,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Sweden,Gothenburg,global,"Economic and Financial Affairs		Trade		Competition		Customs		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Information Society		Transport		Climate Action",,300000-399999
92802501097-37,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Netherlands,Tilburg,European,"General and Institutional Affairs		Agriculture and Rural Development		Trade		Consumer Affairs		Customs		Employment and Social Affairs		Taxation		Public Health",,50000-99999
96348421122-86,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"Culture		Education		Employment and Social Affairs		Youth		Research and Technology",,0-9999
22400601191-42,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Berlin,"European		global		national","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication",2810000,
24298121313-54,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Austria,Vienna,global,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Trade		Competition		Consumer Affairs		Development		Customs		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Internal Market		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Transport",,200000-299999
99005441548-23,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"Energy		Enterprise		Environment		Internal Market		Regional Policy		Climate Action",,50000-99999
58969291154-50,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",France,BIARRITZ,European,"Education		Enlargement		Energy		Environment		Youth		Justice and Fundamental Rights		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Research and Technology		Public Health		Sport		Transport		Climate Action",,50000-99999
91711831031-23,II - In-house lobbyists and trade/business/professional associations,Companies & groups,France,Paris La Défense,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Budget		Trade		Competition		Development		Energy		Enterprise		Environment		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Information Society		Transport		Home Affairs",300000,
27085111347-65,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Germany,Berlin,"European		national		regional/local","Audiovisual and Media		Competition		Consumer Affairs		Culture		Employment and Social Affairs		Enterprise		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Research and Technology		Information Society",125000,
78792171129-54,"VI - Organisations representing local		regional and municipal authorities		other public or mixed entities		etc.","Other public or mixed entities		created by law whose purpose is to act in the public interest",Germany,Berlin,"European		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Audiovisual and Media		Competition		Consumer Affairs		Enlargement		Employment and Social Affairs		Enterprise		Taxation		Justice and Fundamental Rights		Internal Market		Regional Policy		Public Health		Information Society		Home Affairs		Communication",,100000-199999
58089691185-94,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Belgium,Bruxelles,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Trade		Competition		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Research and Technology		External Relations		Trans-European Networks		Public Health		Transport",,1250000-1499999
46530831412-96,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Germany,Berlin,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Transport		Climate Action		Home Affairs",,50000-99999
