Head office country	Agriculture and Rural Development	Audiovisual and Media	Budget	Climate Action	Communication	Competition	Consumer Affairs	Culture	Customs	Development	Economic and Financial Affairs	Education	Employment and Social Affairs	Energy	Enlargement	Enterprise	Environment	External Relations	Financial Services and Capital Markets Union	Financial Stability	Fisheries and Aquaculture	Food Safety	Foreign and Security Policy and Defence	General and Institutional Affairs	Home Affairs	Humanitarian Aid	Information Society	Internal Market	Justice and Fundamental Rights	Public Health	Regional Policy	Research and Technology	Sport	Taxation	Trade	Trans-European Networks	Transport	Youth
Sweden	43.0	43.0	22.0	72.0	34.0	78.0	60.0	40.0	29.0	33.0	59.0	54.0	66.0	77.0	18.0	82.0	90.0	29.0	13.0	13.0	20.0	30.0	25.0	34.0	24.0	16.0	68.0	100.0	58.0	54.0	37.0	75.0	15.0	51.0	57.0	41.0	58.0	34.0
Switzerland	27.0	22.0	15.0	65.0	26.0	77.0	59.0	30.0	46.0	43.0	67.0	49.0	46.0	63.0	18.0	77.0	93.0	63.0	13.0	13.0	14.0	43.0	32.0	52.0	35.0	22.0	57.0	80.0	54.0	69.0	29.0	83.0	21.0	47.0	65.0	36.0	42.0	32.0
Syria	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Taiwan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
Trinidad And Tobago	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Tunisia	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0
Turkey	6.0	5.0	2.0	4.0	6.0	6.0	3.0	5.0	6.0	6.0	7.0	10.0	8.0	11.0	12.0	11.0	9.0	9.0	0.0	0.0	3.0	4.0	8.0	4.0	2.0	6.0	11.0	5.0	10.0	4.0	5.0	11.0	1.0	3.0	7.0	6.0	7.0	7.0
Uganda	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Ukraine	3.0	2.0	2.0	4.0	6.0	4.0	1.0	5.0	4.0	2.0	5.0	3.0	1.0	7.0	6.0	4.0	7.0	5.0	0.0	0.0	0.0	3.0	5.0	1.0	1.0	3.0	4.0	2.0	5.0	2.0	6.0	3.0	0.0	3.0	5.0	6.0	2.0	3.0
United Arab Emirates	1.0	0.0	1.0	1.0	0.0	3.0	1.0	1.0	0.0	1.0	3.0	0.0	1.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0
United Kingdom	217.0	207.0	139.0	349.0	190.0	383.0	351.0	196.0	144.0	229.0	420.0	229.0	283.0	371.0	104.0	375.0	489.0	205.0	121.0	121.0	142.0	192.0	136.0	222.0	161.0	130.0	300.0	437.0	253.0	283.0	199.0	421.0	102.0	301.0	348.0	216.0	258.0	148.0
United States	61.0	76.0	40.0	104.0	65.0	144.0	118.0	52.0	77.0	78.0	132.0	60.0	71.0	118.0	42.0	125.0	148.0	101.0	28.0	28.0	33.0	61.0	67.0	82.0	63.0	36.0	138.0	161.0	100.0	97.0	53.0	164.0	22.0	116.0	179.0	64.0	72.0	40.0
Venezuela	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
